,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
2,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,10.0,4.0,65.0
15,Long Biên,Bồ Đề,"Nhà ngõ, hẻm",Đã có sổ,5,4,52.0,12.0,4.2,93.27
29,Nam Từ Liêm,Tây Mỗ,"Nhà ngõ, hẻm",Đã có sổ,4,3,32.0,6.6,4.5,60.94
34,Huyện Thanh Trì,Xã Tả Thanh Oai,"Nhà ngõ, hẻm",Đã có sổ,3,2,42.0,11.0,4.0,29.76
37,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,4,4,43.0,11.0,4.0,50.0
41,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.0,68.42
68,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,9.0,3.4,82.67
70,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,2,18.0,6.0,3.2,105.56
71,Ba Đình,Ngọc Hà,"Nhà ngõ, hẻm",Đã có sổ,5,5,33.0,11.0,3.0,136.36
76,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,32.0,11.0,3.2,89.06
78,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,4,3,20.0,6.5,3.0,97.5
85,Đống Đa,Kim Liên,"Nhà ngõ, hẻm",Đã có sổ,3,3,28.0,7.0,3.9,100.0
96,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,3,2,37.0,10.0,3.7,53.51
104,Hoàng Mai,Hoàng Văn Thụ,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,21.0,7.0,3.0,100.0
111,Hà Đông,Vạn Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,71.43
120,Ba Đình,Kim Mã,"Nhà ngõ, hẻm",Đã có sổ,3,2,30.0,9.0,3.2,60.0
128,Hoàng Mai,Hoàng Văn Thụ,"Nhà ngõ, hẻm",Đã có sổ,5,3,25.0,7.0,3.6,96.0
137,Hà Đông,Phú La,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,40.0,10.0,4.0,50.0
138,Hà Đông,Hà Cầu,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,9.5,3.5,65.15
151,Bắc Từ Liêm,Cổ Nhuế 1,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,45.0,9.0,4.0,64.44
164,Huyện Thanh Trì,Xã Tam Hiệp,"Nhà ngõ, hẻm",Đã có sổ,3,3,36.0,12.0,3.0,55.22
171,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,3,35.0,8.75,4.0,68.57
183,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,4,60.0,15.0,4.0,83.33
